"word","mean","ipa","exampleSentence","translatedSentence","type"
"prohibit","(法律あるいは権威をもって)…を禁止する, を禁ずる / （物事が）…を妨げる","/prəˈhɪbɪt/","Smoking is prohibited in this area.","このエリアでは喫煙は禁止されています。","BSL"
"restraint","〈U〉抑制,拘束,束縛 / (行為・感情などの)自制,慎み,遠慮 / 〈C〉抑制するもの","/rɪˈstreɪnt/","She was angry, but she spoke with restraint.","彼女は怒っていたが、それをおさえて話をした。","BSL"
"resume","〈他〉〈中断した仕事・話など〉を再び始める, を再び続ける / …を再び取る, 取り戻す / 〈自〉再び始める","/rɪˈzuːm/","We’ll resume the meeting at 10:30 tomorrow.","明日は10:30からミーティングを再開します。","BSL"
"seize","(急に)...をぐいとつかむ / (力ずくで)…を奪い取る, を差し押さえる / を把握する","/siz/","He tried to seize the opportunity.","彼はチャンスをぐいとつかもうとした。","BSL"
"sometime","(未来の)いつか, そのうち / 《未来の時を表す語句の前で》( ...の)あたりで, ある時点で / (過去の)あるとき","/sʌm.taɪm/","I will meet with my friend sometime next week.","来週あたり、友人と会う予定です。","BSL"
"span","〈他〉架かる、渡される/　及ぶ、広がる/　回す、つかむ/　測る　","/spæn/","She span the globe in her travels.","彼女は旅行で地球を一周した。","BSL"
"stall","〈C〉売店, 屋台, 露店 / 商品陳列台 / (家畜などの) 一仕切りの部屋 /  (車・飛行機などの)失速, エンスト","/stɔːl/","I saw a beautiful stall at the market.","私は市場で美しい屋台を見ました。","BSL"
"sue","《...の件で》 を訴える《for ...》 / 《...の件で》訴える, 告訴する《for ...》 / 《...を》請求する; 懇願する《for ...》","/suː/","Sue decided to sue the company for wrongful termination.","スーは不当解雇で会社を訴えることに決めました。","BSL"
"swell","〈物が〉大きくなる, ふくれる, はれる《up》 / 〈帆などが〉張り出る《out》 / 〈程度・力などが〉増大する / をふくらませる / 〈帆など〉を張り出させる《out ...》 / を増大させる","/swɛl/","The waves swell as the storm approaches.","嵐が近づくにつれて波が大きくなる。","BSL"
"remainder","〈U〉《集合的に;複数扱い; the ~》残り,残りの人(物) / 〈C〉(引き算の)残り, (割り算の)余り","/ɹɪˈmeɪndər/","I have finished my work, but there is still a remainder of tasks to be completed.","仕事は終わったが、まだ残りのタスクがある。","BSL"
"overhaul","【動/他】(修理・治療などのために)…を分解検査(修理)する,を精密検査する / (組織など)を徹底的に見直して改革する / ...に追いつく / 【名/C】分解検査, 分解修理","/ˈoʊvərˌhɔl/","The company decided to overhaul its outdated technology.","同社は時代遅れの技術を全面的に見直すことを決定した。","BSL"
"slot","細長いみぞ(くぼみ,口);(自動販売器などの)料金投入口  / (リスト・予定表・ある組合せなどの中で占める)場所,位置","/slɒt/","I found a coin in the slot.","私はスロットにコインを見つけました。","BSL"
"appreciation","〈U〉(…を)正しく認識すること,(…の)識別,評価《+of+名》  / 〈U〉《時にan~》(文学・芸術などの)理解,鑑賞;批評,論評《+of+名》  / 〈U〉(…に対する)感謝《+for+名》  / 〈U〉《時にa~》(価格の)騰貴","/əˌpriːʃiˈeɪʃən/","Your appreciation of the situation is accurate.","あなたの状況に対する正確な認識は正確です。","BSL"
"awkward","気まずい / (人・動作などが) ぶかっこうな, ぎこちない / (物が) 扱いにくい / (状態・問題などが) やっかいな","/ˈɔːkwərd/","He felt awkward standing alone in the crowded room.","彼は混雑した部屋で一人立っているのが気まずかった。","BSL"
"contingent","【名/C】派遣団,代表団 / 不慮の出来事 / 【形】《他の条件などに》依存する,...次第の《on, upon ...》 / 不測の, 偶然の / 《...に》起こり得る《to ...》","/kənˈtɪndʒənt/","The success of the project is contingent on securing funding.","プロジェクトの成功は資金の確保にかかっている。","BSL"
"slash","さっと切りつけること,打ち下ろすこと / 切り口,深い切り傷 / (価格 / 数量などの)大幅切り下げ,大削減 / (衣服の)あき口(スリット)  / 斜線記号(/)","/slæʃ/","a slash across his right cheek","右頬の切り傷","BSL"
"tumble","〈自〉転がる,倒れる / 転げ回る《about》/崩れ落ちる《down》 / 〈他〉を放り投げる / をめちゃくちゃにする","/ˈtʌmbəl/","I watched the leaves tumble down from the tree.","私は木から葉が落ちるのを見ました。","BSL"
"valid","(理論・理由などが) 妥当な /  (契約・法律などが) 合法的な, 正当な / (ある条件のもとで)有効な","/'vælɪd/","The argument presented in the paper is valid.","論文で提示された議論は妥当です。","BSL"
"proxy","〈U〉(…の)代理,代理権;〈C〉代理人《+for+名》  / 〈C〉委任状","/'prɒksi/","I couldn't attend the meeting, so I sent my colleague as a proxy.","私は会議に出席できなかったので、代理として同僚を送りました。","BSL"
"laser","レーザー(強力な可視光線を発生させる;医療,通信,軍事用)","/ˈleɪzər/","The scientist used a laser to cut through the metal.","科学者は金属を切るためにレーザーを使用しました。","BSL"
"compatible","《...と》両立できる, 矛盾のない, 互換性のある《with ...》 / 《be ~ with ...》《...と》うまがあう","/kəmˈpætəbəl/","These two software programs are compatible with each other.","これらの2つのソフトウェアプログラムは互換性があります。","BSL"
"composite","【形】合成の,複合の / キク科の / 【名/C】合成物,複合物 / キク科植物","/kəmˈpɑzɪt/","Spain is a composite of diverse traditions and people.","スペインは、多様な伝統と人々の複合体です。","BSL"
"computation","〈U/C〉計算, 算出 / 〈C〉(計算の結果出た)算定額","/kɑmpjuˈteɪʃən/","Computation is an essential part of computer science.","計算はコンピュータ科学の重要な一部です。","BSL"
"terminal","終わりの / 死に至る","/'tɜːrmɪnəl/","Her illness, diagnosed as a rare and terminal form of leukemia, left her with only months to live.","彼女は珍しい末期の白血病と診断され、余命数カ月と宣告された。","BSL"
"similarity","〈U〉類似,相似 / 〈C〉類似点","/sɪmɪˈlærəti/","There is some similarity in the way they sing.","彼らの歌い方にはいくつかの類似点がある。","BSL"
"socially","社会的に,社会によって / 社交上, 社交的に / 親しく, 打ち解けて","/ˈsoʊʃəli/","She is socially active and enjoys attending various events.","彼女は社会的に活発で、さまざまなイベントに参加するのが好きです。","BSL"
"unify","〈他〉...を統一する /〈自〉一つになる, 一体化する","/juː.nɪ.faɪ/","The goal of this project is to unify all the different systems into one platform.","このプロジェクトの目標は、異なるシステムを統一した一つのプラットフォームにすることです。","BSL"
"continuity","【名/U】連続性, 一貫性 / （映画などの）撮影用台本, コンテ / 【名/C】コンテに書かれた個々の指示","/kɒn.tɪ.nuˈɪ.ti/","There is no continuity between the three parts of the book.","この本の3つの章の間には、連続性がありません。","BSL"
"restate","【動/他】《かたく》（強調するために）...を再び述べる, …を言い換える, を言い直す","/ɹiːˈsteɪt/","Let me restate my point.","私のポイントを再述します。","BSL"
"unauthorized","認可されていない,権限のない, 不正な","/ʌnˈɔːθəraɪzd/","The unauthorized access to the system was detected and blocked.","システムへの不正アクセスが検出され、ブロックされました。","BSL"
"municipal","市の, 町の, 地方自治体の / 市政の, 市営の,市立の","/mjuːˈnɪsɪpəl/","The municipal government is responsible for maintaining the city's infrastructure.","市のインフラの維持管理は市政府の責任です。","BSL"
"operational","【形】操作上の / 作戦上の / (航空機などが)いつでも使用できる,操作できる","/ˌɑpəˈreɪʃənəl/","The operational procedures need to be followed strictly.","操作手順は厳密に従う必要があります。","BSL"
"substitution","〈U/C〉《...の》 代用 , 代理 , 置き換え 《for ...》","/sʌbstɪˈtjuːʃən/","Substitution is a common strategy used in mathematics to solve equations.","代入法は数学で方程式を解くときによく使われる戦略です。","BSL"
"managerial","【形】経営上の, 管理上の / 経営者の","/mænˈɪdʒəriəl/","He has excellent managerial skills.","彼は優れた経営上のスキルを持っています。","BSL"
"fiscal","財務の,会計の / 国庫の","/fɪskəl/","The government implemented various fiscal policies to stimulate economic growth.","政府は経済成長を促進するために様々な財政政策を実施しました。","BSL"
"incur","(損害・非難・危険など)を招く,をこうむる","/ɪnˈkɜr/","His reckless behavior could incur serious consequences.","彼の無謀な行動は重大な結果を招くかもしれません。","BSL"
"discretionary","任意の, 自由裁量の","/dɪˈskreʃəˌnɛri/","The use of discretionary funds is subject to approval.","任意の資金の使用は承認の対象となります。","BSL"
"fleet","〈C〉車両, 艦隊 /   (車・飛行機などの)隊,団 《of ...》","/fliːt/","The company operates a fleet of trucks for its delivery service.","同社は配送サービスのためにトラックを運行しています。","BSL"
"fluctuate","(価格・数量などが) 変動する,上下する / (気分などが) 揺れ動く, 動揺する","/ˈflʌktʃueɪt/","The stock prices fluctuate daily.","株価は毎日変動する。","BSL"
"likewise","《かたく》 同様に / 《かたく》 …もまた / さらに / 《話》 同様です, こちらこそ","/ˈlaɪkwaɪz/","I enjoy reading, and likewise, my sister loves to read.","私は読書を楽しんでいますし、同様に、私の姉も読書が大好きです。","BSL"
"administrative","行政上の / 管理の / 経営の","/ædˈmɪnɪstrətɪv/","The administrative procedures in this office are quite complex.","このオフィスの行政手続きはかなり複雑です。","BSL"
"decentralize","(行政) の中央集権化を避ける / (産業・人口など)を分散させる","/diːˈsɛntrəˌlaɪz/","Many companies are starting to decentralize their operations to improve efficiency.","多くの企業が効率を改善するために、運営を分散化し始めています。","BSL"
"outweigh","...より重要である / ...より価値がある / ...より重い","/aʊtˈweɪ/","The benefits of exercise outweigh the risks.","運動の利点はリスクを上回る。","BSL"
"withhold","《...に》 (承認・真相など)を与えないでおく,を差し控える《from ...》 / 《...から》 を抑える, を制する 《from ...》","/wɪθˈhoʊld/","He decided to withhold the information from his colleagues.","彼は同僚たちに情報を与えないことを決めた。","BSL"
"duly","《かたく》正しく, 当然に, 適切に, 順当に","/ˈdjuːli/","The documents were duly signed and submitted.","文書は適切に署名され、提出されました。","BSL"
"ray","〈C〉光線, 熱線, 放射線 / 《a ~》《希望などの》一筋(ひとすじ), ごく少量《of ...》 / 放射状に突き出たもの","/reɪ/","The sun's rays warmed my face.","太陽の光線が私の顔を温めた。","BSL"
"mild","(態度などが) 柔和な / (程度などが) 適度な, ほどよい","/mɑɪld/","She has a mild temperament.","彼女は柔和な気質を持っています。","BSL"
"redundancy","〈U〉余分な言葉を使うこと,冗長,冗漫  / 〈C〉余分なもの, 不必要な言葉 / 〈U/C〉冗長性, 余剰性 / 《英》余剰人員の解雇","/rɪˈdʌndənsi/","The redundancy in the new employee's email made the message longer and less clear than necessary.","新入社員のメールに冗長な部分があったため、必要以上にメッセージが長くなり、わかりにくくなってしまった。","BSL"
"multiply","【副】多様に,複雑に,複合的に, 多くの方法で","/mʌltɪplaɪ/","The artist used colors multiply to create a complex and vibrant painting.","その芸術家は複雑で鮮やかな絵画を作るために、色を多様に使用しました。","BSL"
"prop","【名/C】支柱,支え / 支えとなる人(物) / 【動/他】を支える / 《...に》...を寄り掛からせる《against ...》","/prɑp/","He propped his bike against the wall.","彼は自転車を壁に立てかけた。","BSL"
"resume","〈C〉概要,摘要,あらまし / レジュメ / 《米》 履歴書","/rɪˈzjuːm/","I need to update my resume before applying for the job.","仕事に応募する前に履歴書を更新する必要があります。","BSL"
"sole","【名/C】足の裏 / 靴底 / 【動/他】〈靴〉に底をつける","/soʊl/","He is the sole owner of the company.","彼はその会社の唯一のオーナーです。","BSL"
"inflationary","インフレの, 通貨膨張の, 物価騰貴の","/ɪnˈfleɪʃəˌnɛri/","The government implemented measures to control inflationary pressures.","政府はインフレ圧力を抑制するための対策を実施しました。","BSL"
"violation","〈C〉(約束・法律などの)違反,無視","/vaɪəˈleɪʃən/","He was charged with a violation of the law.","彼は法律違反で告訴された。","BSL"
"tonne","《重さ》メートルトン,トン(1,000キログラムに相当する重さの単位)","/tɒn/","The shipment weighed 10 tonnes.","積荷の重さは10トンでした。","BSL"
"conceptual","概念の, 概念的な, 概念上の","/kənˈsɛptʃuəl/","The artist's work explores conceptual ideas and challenges traditional notions of art.","芸術家の作品は概念的なアイデアを探求し、伝統的な芸術の概念に挑戦しています。","BSL"
"ruler","支配者,統治者  / 定規","/ˈruːlər/","The ruler was made of brass.","その定規は真鍮で作られていました。","BSL"
"supposedly","たぶん,おそらく /  《文修飾》想定するところでは","/səˈpoʊzɪdli/","Supposedly, the old mansion is haunted by ghosts of the previous owners.","おそらく、古い邸宅には前の所有者の幽霊が取り憑いていると思われます。","BSL"
"stabilize","…‘を'固定させる,安定させる","/steɪ.bə.laɪz/","We need to stabilize the situation before it gets worse.","悪化する前に状況を安定させる必要があります。","BSL"
"standardize","【動/自/他】標準化する","/ˈstændərdaɪz/","We need to standardize our procedures to ensure consistency.","一貫性を確保するために、手続きを標準化する必要があります。","BSL"
"tricky","(人が)こうかつな,ずるい / (物事・仕事などが)手の込んだ, 慎重を要する, 扱いにくい","/'trɪki/","Dealing with tricky situations requires careful consideration.","こうかつな状況に対処するには注意深い考慮が必要です。","BSL"
"discrimination","区別(識別)すること  / (…に対する)差別待遇《+against+名》  / 識別力,鋭く見分ける力","/dɪˌskrɪmɪˈneɪʃən/","Discrimination based on race is a violation of human rights.","人種に基づく差別は人権の侵害です。","BSL"
"fiber","(1本の)繊維,すじ  / 〈U〉《集合的に》繊維,繊維組織  / 〈U〉(布の)生地,織り地(textile)、 食物繊維 / 〈U〉性格,性質;根性","/ˈfaɪbər/","I need to increase my daily intake of fiber.","私は毎日の食物繊維摂取量を増やす必要があります。","BSL"
"inevitably","必然的に,避けられないで","/ɪˈnɛvɪtəbli/","Change is inevitably a part of life.","変化は必然的に人生の一部です。","BSL"
"quantitative","量の,量的な","/kwɑːntəˈteɪtɪv/","Quantitative analysis is used to measure the amount of a substance.","定量分析は物質の量を測定するために使用されます。","BSL"
"resemble","似ている、類似している","/rɪˈzɛmbəl/","They resemble each other in appearance.","彼らは容姿が似ている。","BSL"
"strategic","(比較変化なし)戦略の,計略の / 戦略上重要な","/strəˈtɛdʒɪk/","The company's strategic plan focused on expanding their market share by launching new products and acquiring smaller competitors.","同社の戦略計画は、新製品の発売と小規模な競合他社の買収によって市場シェアを拡大することに重点を置いていました。","BSL"
"barrel","(胴のふくれた)たる  / (…の)1たる[の量]《+of+名》  / 銃身,砲身  / 《単数扱い》(…の)多量《+of+名》《話》","/ˈbærəl/","The wine was aged in a large oak barrel.","そのワインは大きなオークのたるで熟成されました。","BSL"
"tribe","《集合的に》《単数・複数扱い》部族  / 《しばしば軽べつして》(…の)仲間,集団,連中《+of+名》  / (動植物の)族(family(科)と genus(属)の間の分類単位)","/traɪb/","The tribe gathered around the fire to celebrate their victory.","部族は勝利を祝うために火の周りに集まった。","BSL"
"transformation","〈U〉変形,変身,変換","/trænsfɔrˈmeɪʃən/","The caterpillar undergoes a transformation and becomes a butterfly.","毛虫は変態を経て蝶になる。","BSL"
"treaty","条約 / 協定 / 条定 / 和約","/'triːti/","The two countries signed a treaty to promote trade and cooperation.","両国は貿易と協力を促進するために条約に署名しました。","BSL"
"capitalism","資本主義","/ˈkæp.ɪ.təl.ɪ.zəm/","Capitalism is an economic system based on private ownership of the means of production and their operation for profit.","資本主義は、生産手段の私有とその利益のための運営に基づく経済システムです。","BSL"
"bulk","【名/U】《...の》 大部分, 大半 《the ~ of ...》 / 容量, かさ / (船の)積み荷  / 【形】大口の / 大量の / 【動/自】かさばる / 【動/他】を大きく見せる","/bʌlk/","I bought a bulk package of toilet paper.","私はトイレットペーパーの大量パッケージを買いました。","BSL"
"harvest","〈C〉(穀物・果物などの)収穫,取り入れ  / 〈C〉収穫期,取り入れの時期  / 〈C〉収穫物;収穫高(量)  / 《a~,the~》(仕事などの)結果,報い  / 〈作物〉‘を'取り入れる,〈畑〉‘の'作物を取り入れる  / 〈結果など〉‘を'獲得する","/ˈhɑːrvɪst/","The farmers were busy with the harvest.","農民たちは収穫で忙しかった。","BSL"
"seminar","(指導教授のもとで行う大学の)研究(演習)グループ,研究会,演習,セミナー,ゼミナール","/ˈsɛmɪnɑr/","I joined a seminar to conduct research under the guidance of my professor.","私は教授の指導のもとで研究を行うためにセミナーに参加しました。","BSL"
"utilize","...を利用する, ...を役立たせる","/juːˈtɪl.aɪz/","I utilize technology to streamline my work process.","私は技術を利用して仕事のプロセスを効率化しています。","BSL"
"textbook","教科書","/'tɛkst.bʊk/","I forgot to bring my textbook to class.","授業に教科書を持ってくるのを忘れてしまった。","BSL"
"programmer","プログラム(番組)を作る人;(コンピューターの)プログラマー","/prəˈɡræmər/","The programmer is working on a new software project.","プログラマーは新しいソフトウェアプロジェクトに取り組んでいます。","BSL"
"shopper","〈C〉買い物客 / ちらし","/ˈʃɒpər/","The shopper bought a new dress.","その買い物客は新しいドレスを買いました。","BSL"
"unexpected","予期しない, 思いがけない","/ʌnɪkˈspɛktɪd/","I received an unexpected gift from my friend.","友達から予期しないプレゼントをもらった。","BSL"
"trainee","訓練(特に職業訓練)を受けている人,徒弟,見習い  / 《米》(軍事教練を受ける)新兵","/ˌtɹeɪˈniː/","The trainee is learning new skills at the company.","訓練生は会社で新しいスキルを学んでいます。","BSL"
"unpaid","未払いの,未納の  / 無給の,無報酬の","/ʌnˈpeɪd/","He has several unpaid bills.","彼はいくつかの未払いの請求書を持っています。","BSL"
"unnecessary","不要な","/ʌnˈnɛsəˌsɛri/","Using unnecessary force will only cause more harm.","不要な力を使うと、ますます害を引き起こすだけです。","BSL"
"goods","(不動産以外の)財産,(金・証券以外の)動産  / 商品,品物  / 《米》反物,織物  / 《英》(鉄道で運ばれる)貨物","/ɡʊdz/","He inherited all of his father's goods.","彼は父の財産をすべて相続した。","BSL"
"facilitate","〈他〉を容易にする, を楽にする / を助ける, を促進する","/fəˈsɪlɪteɪt/","Technology can facilitate communication between people who are far apart.","技術は遠く離れた人々の間のコミュニケーションを容易にすることができます。","BSL"
"foster","【動/他】〈里子など〉を養育する / 〈親善関係・理解など〉を促進する / を心に抱く / 【形】育ての, 里親の","/'fɑːstər/","She decided to foster a rescue dog.","彼女は保護犬を育てることに決めました。","BSL"
"exclusively","排他的に,独占的に,のみ/ 全く,もっぱら(solely)","/ɪkˈskluːsɪvli/","She is exclusively focused on her career.","彼女は仕事に完全に集中しています。","BSL"
"verbal","言葉の,口頭の","/'vɜr.bəl/","She has excellent verbal skills.","彼女は優れた言葉のスキルを持っています。","BSL"
"worthwhile","価値のある / やりがいのある","/wɜrθˈwaɪl/","Visiting the Louvre Museum is a worthwhile experience.","ルーブル美術館を訪れることは価値のある経験です。","BSL"
"conglomerate","固まりになった;密集した  / 礫岩(れきがん)の  / 複合企業の  / (いろいろな物の)集合体;丸いかたまり  / 礫岩  / 複合企業  / …'を'集めて丸く固める  / 丸く固まる","/kənˈɡlɑmərət/","The conglomerate of rocks formed a solid structure.","岩石の塊が強固な構造を形成した。","BSL"
"devaluation","貨幣の平価切り下げ,デノミ","/dɪˌvæljuˈeɪʃən/","The devaluation of the currency caused prices to skyrocket.","通貨の切り下げにより物価が急騰した。","BSL"
"endless","無限の,果てしのない  / 絶え間のない,ひっきりなしの  / (端と端がつながって)輪になっている","/ˈɛndləs/","The possibilities are endless.","可能性は無限です。","BSL"
"expertise","〈U〉専門技術,専門知識 / 〈C〉専門家の調査報告","/ˌɛk.spɝˈtiːz/","He has extensive expertise in the field of technology.","彼はテクノロジーの分野で広範囲の専門知識を持っています。","BSL"
"handful","〈C〉《...の》一握り, 一つかみ《of ...》 / 《a ~》《...の》わずか, 少量《of ...》 / 《話》手に負えない人(物事)","/'hænd.fʊl/","He picked up a handful of sand.","彼は砂を一握り拾い上げた。","BSL"
"reportedly","伝えられるところによれば…とのこと","/rɪˈpɔːrtɪdli/","Reportedly, the company is planning to launch a new product next month.","伝えられるところによれば、その会社は来月新製品を発売する予定です。","BSL"
"provoke","...を怒らせる / (ある状態に)(人)を駆り立てる  / (人の反応など)を引き起こす","/prəˈvoʊk/","His controversial remarks provoked a heated discussion among the panelists.","彼の物議を醸す発言は、パネリストたちの間で熱い議論を引き起こした。","BSL"
"quasi","【複合要素】疑似の..., 類似の..., ある意味の..., 準...","/'kweɪzɪ/","He is a quasi-scientist.","彼は疑似科学者です。","BSL"
"veto","【名】拒否権；拒否権の行使；拒否；禁止【動/他】を拒否する,否認する","/'vitoʊ/","The president has the power to veto any bill passed by Congress.","大統領は議会が可決した法案を拒否する権限を持っています。","BSL"
"void","(法的に)無効な  / 《文》空虚な,からっぽの  / 《補語にのみ用いて》《be void of+名》(…が)ない,欠けた  / 〈U〉《the ~》(地球の回りの)空間,空所,虚空  / 〈C〉《単数形で》(地面・壁などの)すきま,割れ目  / 〈C〉《単数形で》空虚感,物足りなさ  / (法的に)…‘を'無効にする  / …‘を'からにする;…‘を'排泄(はいせつ)する","/vɔɪd/","The contract was declared void by the court.","契約は裁判所によって無効とされました。","BSL"
"wholesaler","卸し売り業者","/ˈhoʊlˌseɪlər/","The wholesaler supplies products to retailers.","卸し売り業者は小売業者に商品を供給します。","BSL"
"unprecedented","【形】先例のない,未曾有の；史上最大の,空前の","/ʌnˈprɛsɪˌdɛntɪd/","The COVID-19 pandemic has caused unprecedented challenges for the global economy.","新型コロナウイルスのパンデミックは、世界経済にとって先例のない挑戦を引き起こしました。","BSL"
"unwilling","気が進まない、不本意の","/ʌnˈwɪlɪŋ/","She was unwilling to go to the party.","彼女はパーティーに行く気が進まなかった。","BSL"
"wary","警戒している、注意深い、用心深い","/'wɛri/","I am wary of strangers.","私は見知らぬ人に警戒しています。","BSL"
"wholly","まったく,完全に(completely)","/ˈhoʊ.li/","She is wholly committed to her work.","彼女は仕事に完全に取り組んでいます。","BSL"
"yuan","ユアン,元(中華人民共和国の貨幣単位)","/juːˈɑːn/","The currency of China is yuan.","中国の通貨はユアンです。","BSL"
"allocate","《...に》...を配分する, を割り当てる《to, for ...》","/ˈæləˌkeɪt/","The company will allocate resources to the new project.","会社は新しいプロジェクトにリソースを割り当てます。","BSL"
"probe","探査器 / 探求 / 問題点 / 探測器 / 調査","/prəʊb/","Scientists launched a probe to explore the outer reaches of the solar system.","科学者たちは、太陽系の外部領域を探査するために探査機を打ち上げました。","BSL"
"subtract","《...から》 ...を引く, を減じる 《from ...》 / 引き算をする","/səbˈtrækt/","To solve this math problem, you need to subtract the second number from the first number.","この数学の問題を解くためには、第二の数を第一の数から引かなければなりません。","BSL"
"contemplate","をよく考える,を熟考する / をじっと見つめる / を予想する / 熟考する","/kɒnˈtɛm.pleɪt/","I contemplate my future every day.","私は毎日将来をよく考えます。","BSL"
"pledge","【名/C/U】誓約, 固い約束 / 【名/U】担保, 抵当 / 【動/他】を誓約する, を固く約束する / に誓約させる / を担保に入れる","/ plɛdʒ /","I pledge to always be there for you.","いつもあなたのそばにいることを誓います。","BSL"
"ledger","〈C〉元帳, 原簿, 台帳","/ˈlɛdʒər/","I need to update the ledger with the latest transactions.","最新の取引で元帳を更新する必要があります。","BSL"
"advisory","勧告の,忠告の;諮問の","/ədˈvaɪzəri/","The government issued an advisory to the public regarding the upcoming storm.","政府は、近日予想される嵐に関して一般市民に勧告を出しました。","BSL"
"customize","…'を'注文どおりに作る","/ˈkʌstəˌmaɪz/","You can customize your order to your liking.","あなたは注文どおりに作ることができます。","BSL"
"formulation","〈U〉公式化,  定式化, 制定 / 《薬学》製法, 処方, 製剤 / 〈C〉明確な表現","/fɔːrˌmjʊˈleɪʃən/","The formulation of the new policy took several months.","新しい政策の策定には数ヶ月かかりました。","BSL"
"likelihood","【名/U】《...が》ありそうなこと / 《...の》見込み,可能性ある《of》","/lɑɪklihʊd/","There is a high likelihood of rain tomorrow.","明日は雨の可能性が高いです。","BSL"
"harsh","【形】(感触や目・耳など五感に)不快な / 厳しい, 過酷な / 【動/自】《くだけて》《...のことを》ひどくけなす《for ...》","/hɑːrʃ/","The harsh winter wind cut through my coat.","厳しい冬の風が私のコートを貫いた。","BSL"
"locally","【副】地方的に, 局部的に / 地元で, 近くで","/ləʊkəli/","I love to support locally owned businesses.","地元の経営者が運営するビジネスを応援するのが好きです。","BSL"
"mandate","【名/C】命令, 指令 / 委任, 権限付与 / 【名/U】委任統治 / 【動/他】(領土・植民地など) の統治を委任する","/mændeɪt/","The government decided to issue a mandate requiring all citizens to wear face masks in public places during the pandemic.","政府は、パンデミック時に公共の場ですべての国民にフェイスマスクの着用を義務付けることを決定した。","BSL"
"underwrite","...の費用負担を承諾する / (文書など)に署名する / (株式・債券など)を引き受ける","/ʌndərˈraɪt/","The bank underwrote the loan.","銀行はローンを担保した。","BSL"
"disposition","〈U/C〉人の)気質,性質 / 〈C〉(…する)傾向,(…したい)気持ち / 〈U〉配置,配列([[arrangement]]) / 〈U〉(物事の最終的な)処理,処置, 決着 / 〈U〉(物件などの)処分,譲渡,売却; 使用権,自由裁量権","/dɪsˌpəˈzɪʃən/","Her cheerful disposition always brightens up the room.","彼女の陽気な性格はいつも部屋を明るくします。","BSL"
"lifetime","〈C〉生涯, 一生","/ˈlaɪfˌtaɪm/","The memories we create last a lifetime.","私たちが作り出す思い出は一生続く。","BSL"
"rigid","【形】固い, 厳格な/硬い,柔軟性のない","/ˈrɪdʒɪd/","The metal rod is rigid and cannot be bent.","金属の棒は固くて曲げることができません。","BSL"
"sensitivity","敏感,(生理的な)感受性  / 感度,度光度","/sɛnˈsɪtɪvəti/","She has a high sensitivity to noise.","彼女は騒音に対して高い敏感さを持っています。","BSL"
"takeover","(管理・支配などの)奮取,接収;(特に会社などの)乗っ取り","/ˈteɪkˌoʊvər/","The company announced a takeover of its competitor.","会社は競合他社の奮取を発表しました。","BSL"
"deliberate","故意に, 慎重な / よく考えた, 意図的な","/dɪˈlɪbərət/","He made a deliberate decision to quit his job.","彼は故意に仕事を辞める決断をした。","BSL"
"adverse","反対の,逆の,敵意を持つ  / 逆方向の / 有害な","/ædˈvɜːrs/","He experienced an adverse reaction to the medicine.","彼はその薬に対して副作用を経験しました。","BSL"
"discriminate","〈自〉《...に対して》 差別待遇する 《against ...》 / 《...間の》 差異を見分ける《between ...》 〈他〉AとBを見分ける《A from B》 / 区別する，弁別する","/dɪˈskrɪmɪneɪt/","It is important to treat everyone equally and not discriminate based on their race or gender.","人種や性別に基づいて差別することなく、みんなを平等に扱うことが重要です。","BSL"
"inspection","調査, 検査","/ɪnˈspɛkʃən/","The inspection of the building revealed several safety violations.","建物の調査でいくつかの安全違反が明らかになりました。","BSL"
"repertoire","上演目録,演奏曲目,レパートリー","/rɛpərˈtwɑr/","She has a wide repertoire of songs.","彼女は幅広い曲目のレパートリーを持っています。","BSL"
"exert","《...に》(威力など)を発揮する 《on ...》 / 《...に》 (感化など) を及ぼす 《on ...》 / 使う, 行使する","/ɪɡˈzɜːrt/","She exerted all her energy to finish the race.","彼女はレースを終えるために全力を尽くした。","BSL"
"interfere","《...に》干渉する《in, with ...》 / 《仕事・状況などの》 妨げとなる《with ...》/ 妨害する, 邪魔する","/ˌɪn.tərˈfɪər/","I don't want to interfere in their personal matters.","私は彼らの個人的な問題に干渉したくない。","BSL"
"vulnerable","傷つきやすい, もろい, 弱い, 脆弱な / 攻撃を受けやすい、かかりやすい","/ˈvʌlnərəbəl/","She is a vulnerable person.","彼女は傷つきやすい人です。","BSL"
"defect","【名】障害, 欠点, 欠乏, 欠陥","/dɪˈfɛkt/","There is a defect in the product.","製品に欠陥があります。","BSL"
"render","《render+名〈目〉+形〈補〉》…‘を'(…の状態に)する)make)  / …‘を'行う,果たす  / (…に対して)…‘を'返す《+名+for+名》  / '‘を'公式に宣言する,言い渡す  / (…に)〈計算書など〉‘を'提出する,送付する《+名+to+名》  / (文章や絵画で)…‘を'表現する  / (…に)…‘を'翻訳する(translate)《+名+into+名》  / ‘を'演奏する,演ずる(perform)  / 〈脂肪など〉‘を'溶かす,溶かして精製する《+名+down,+down+名》","/ˈrɛndər/","The artist used vibrant colors to render the scene more realistic.","芸術家は鮮やかな色を使って、シーンをよりリアルに描写しました。","BSL"
"secular","世俗的な,現世の, 宗教に関係のない / (聖職者が)修道院に住まない,修道会に所属しない","/'sɛkjʊlər/","He has a secular view of life.","彼は人生に対して世俗的な見方を持っている。","BSL"
